iter	Logloss
0	0.62858814
1	0.5794697967
2	0.5324037214
3	0.4921313019
4	0.4508668294
5	0.4238842148
6	0.4008452564
7	0.3702567327
8	0.3534632769
9	0.3358363647
10	0.3194480834
11	0.3082173496
12	0.2925612504
13	0.2801779079
14	0.2699159942
15	0.2626298316
16	0.2559794179
17	0.240585996
18	0.2309026315
19	0.2264907113
20	0.2179571435
21	0.2122468881
22	0.2081954674
23	0.2017076056
24	0.1952831886
25	0.1892575245
26	0.1856595797
27	0.1831119474
28	0.1785836635
29	0.1744214773
30	0.1691396508
31	0.1646791681
32	0.1605954567
33	0.1576930021
34	0.1533086587
35	0.1487478718
36	0.1459135626
37	0.1427406682
38	0.1409385221
39	0.1393560589
40	0.1355063426
41	0.1320664218
42	0.1288963945
43	0.1265643716
44	0.1243720105
45	0.1215286116
46	0.1197530483
47	0.1166040021
48	0.1130838957
49	0.1111836393
