iter	Passed	Remaining
0	141	6947
1	142	3430
2	143	2247
3	143	1655
4	144	1302
5	145	1067
6	146	898
7	146	770
8	147	671
9	147	591
10	148	526
11	149	472
12	149	426
13	150	386
14	150	352
15	151	322
16	152	296
17	153	273
18	154	251
19	155	232
20	155	214
21	156	198
22	156	184
23	157	170
24	158	158
25	159	147
26	160	136
27	161	126
28	161	117
29	162	108
30	162	99
31	163	91
32	164	84
33	165	77
34	165	71
35	166	64
36	167	58
37	168	53
38	168	47
39	169	42
40	170	37
41	170	32
42	171	27
43	172	23
44	173	19
45	174	15
46	174	11
47	175	7
48	176	3
49	176	0
